City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Yashkul,RU,2021-02-05 00:34:28,46.1711,45.3435,40.95,92,98,8.34
112,Arraial Do Cabo,BR,2021-02-05 00:32:00,-22.9661,-42.0278,77.4,83,0,26.82
113,Rawson,AR,2021-02-05 00:30:52,-43.3002,-65.1023,84.13,22,0,25.32
114,Fukue,JP,2021-02-05 00:31:11,32.6881,128.8419,44.6,81,75,1.14
115,Ribeira Grande,PT,2021-02-05 00:27:09,38.5167,-28.7,55.65,71,32,21.0
116,Batsfjord,NO,2021-02-05 00:34:29,70.6345,29.7185,23.0,86,75,17.27
117,Marsh Harbour,BS,2021-02-05 00:34:29,26.5412,-77.0636,65.28,54,96,4.7
118,Port Elizabeth,ZA,2021-02-05 00:32:29,-33.918,25.5701,66.2,88,0,2.3
119,Outlook,CA,2021-02-05 00:34:29,51.5001,-107.0513,1.99,78,100,4.61
120,Ponta Do Sol,PT,2021-02-05 00:28:50,32.6667,-17.1,51.01,63,94,3.0
121,East London,ZA,2021-02-05 00:30:08,-33.0153,27.9116,72.57,75,84,6.08
122,Keti Bandar,PK,2021-02-05 00:34:30,24.1447,67.4497,61.77,35,0,11.01
123,Tarata,BO,2021-02-05 00:34:30,-17.6167,-66.0167,62.6,67,75,3.44
124,Sao Joao Da Barra,BR,2021-02-05 00:32:22,-21.6403,-41.0511,77.9,82,0,21.83
125,Ponta Delgada,PT,2021-02-05 00:34:30,37.7333,-25.6667,55.4,62,40,11.5
126,Bethel,US,2021-02-05 00:27:11,41.3712,-73.414,28.99,74,1,2.66
127,Buala,SB,2021-02-05 00:34:30,-8.145,159.5921,85.24,71,0,8.77
128,Mukhen,RU,2021-02-05 00:34:31,48.1,136.1,-7.69,83,0,12.41
129,Issenye,TZ,2021-02-05 00:34:31,-2.0,34.3333,66.69,79,100,1.88
130,Longyearbyen,SJ,2021-02-05 00:32:33,78.2186,15.6401,17.6,67,75,13.8
131,Moyamba,SL,2021-02-05 00:34:31,8.1667,-12.4333,73.2,91,0,1.9
132,Cidreira,BR,2021-02-05 00:32:08,-30.1811,-50.2056,69.21,73,0,15.88
133,Estelle,US,2021-02-05 00:33:23,29.8458,-90.1067,66.99,72,75,14.97
134,Kenora,CA,2021-02-05 00:31:11,49.8167,-94.4337,1.4,71,90,11.5
135,Hovd,MN,2021-02-05 00:34:32,48.0056,91.6419,17.04,81,100,5.66
136,Egvekinot,RU,2021-02-05 00:34:32,66.3167,-179.1667,-18.47,88,100,17.78
137,Ocara,BR,2021-02-05 00:33:45,-4.4908,-38.5967,74.21,91,100,4.36
