City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Egvekinot,RU,2021-02-06 17:50:08,66.3167,-179.1667,-8.82,79,93,8.19,overcast clouds
119,New Norfolk,AU,2021-02-06 17:48:14,-42.7826,147.0587,57.99,76,26,1.01,scattered clouds
120,San Pedro,PH,2021-02-06 17:51:40,14.35,121.0167,77.0,88,20,2.3,few clouds
121,Sao Filipe,CV,2021-02-06 17:50:57,14.8961,-24.4956,71.2,70,11,13.27,few clouds
122,Saint-Michel-Des-Saints,CA,2021-02-06 17:52:04,46.6834,-73.9159,19.49,91,83,11.63,broken clouds
123,Avera,US,2021-02-06 17:52:05,33.194,-82.5271,50.0,53,90,6.91,overcast clouds
124,Brae,GB,2021-02-06 17:52:05,60.3964,-1.353,33.8,47,90,19.57,overcast clouds
125,Ordzhonikidze,KZ,2021-02-06 17:52:05,52.4411,61.7408,16.72,93,99,24.56,overcast clouds
126,Broken Hill,AU,2021-02-06 17:52:05,-31.95,141.4333,64.4,68,43,16.11,scattered clouds
127,Ucluelet,CA,2021-02-06 17:49:16,48.9329,-125.5528,46.0,93,75,21.85,broken clouds
128,Torbay,CA,2021-02-06 17:52:05,47.6666,-52.7314,35.6,87,90,6.91,light rain
129,Japura,ID,2021-02-06 17:52:05,-0.3167,102.35,74.05,88,70,0.87,broken clouds
130,Mitsamiouli,KM,2021-02-06 17:52:06,-11.3847,43.2844,82.8,74,80,5.46,light rain
131,Norman Wells,CA,2021-02-06 17:52:06,65.282,-126.8329,-34.6,74,75,5.75,broken clouds
132,Kismayo,SO,2021-02-06 17:52:06,-0.3582,42.5454,77.07,83,15,15.73,few clouds
133,Atar,MR,2021-02-06 17:52:06,20.5169,-13.0499,72.68,22,35,15.84,scattered clouds
134,Santa Maria Da Vitoria,BR,2021-02-06 17:52:06,-13.3947,-44.1886,84.47,65,86,6.42,overcast clouds
135,Lebu,CL,2021-02-06 17:52:07,-37.6167,-73.65,62.82,77,82,6.55,broken clouds
136,Amurzet,RU,2021-02-06 17:52:07,47.6967,131.0981,-10.23,87,19,6.15,light snow
137,Gardez,AF,2021-02-06 17:52:07,33.5974,69.2259,33.89,68,0,1.34,clear sky
138,Pisco,PE,2021-02-06 17:52:07,-13.7,-76.2167,75.99,83,75,10.36,broken clouds
139,Kaitangata,NZ,2021-02-06 17:52:07,-46.2817,169.8464,49.91,93,2,2.91,clear sky
140,Komsomolskiy,UZ,2021-02-06 17:52:07,40.4272,71.7189,41.0,56,100,4.61,mist
141,Makakilo City,US,2021-02-06 17:52:08,21.3469,-158.0858,66.2,77,90,12.66,overcast clouds
142,Clyde River,CA,2021-02-06 17:52:08,70.4692,-68.5914,-14.8,84,40,3.44,scattered clouds
143,Dikson,RU,2021-02-06 17:52:08,73.5069,80.5464,-29.36,86,50,10.25,scattered clouds
144,Kahului,US,2021-02-06 17:48:30,20.8947,-156.47,59.0,82,20,3.44,few clouds
145,Avarua,CK,2021-02-06 17:52:08,-21.2078,-159.775,78.8,89,17,3.44,few clouds
146,Do Gonbadan,IR,2021-02-06 17:52:08,30.3586,50.7981,62.6,51,75,4.61,broken clouds
147,Poum,NC,2021-02-06 17:49:19,-20.2333,164.0167,79.83,67,11,3.02,few clouds
148,Maloy,NO,2021-02-06 17:52:09,61.9353,5.1136,24.8,54,0,8.05,clear sky
149,Saint George,US,2021-02-06 17:52:09,37.1041,-113.5841,51.01,49,1,3.44,clear sky
150,Boyolangu,ID,2021-02-06 17:52:09,-8.1181,111.8935,75.25,89,91,6.08,overcast clouds
151,Ponta Do Sol,PT,2021-02-06 17:52:09,32.6667,-17.1,60.01,60,39,1.99,scattered clouds
152,Bengkulu,ID,2021-02-06 17:49:46,-3.8004,102.2655,76.55,79,85,4.79,overcast clouds
153,Lompoc,US,2021-02-06 17:52:09,34.6391,-120.4579,57.0,76,1,5.75,clear sky
154,Tigil,RU,2021-02-06 17:52:09,57.8,158.6667,17.78,93,100,15.9,overcast clouds
155,Halifax,CA,2021-02-06 17:49:07,44.6453,-63.5724,44.01,70,81,23.02,broken clouds
156,Mnogovershinnyy,RU,2021-02-06 17:52:10,53.9353,139.9242,-10.3,91,99,8.01,overcast clouds
157,Half Moon Bay,US,2021-02-06 17:52:10,37.4636,-122.4286,57.99,87,1,4.61,mist
158,Kargasok,RU,2021-02-06 17:52:10,59.0556,80.8572,33.71,95,100,12.55,overcast clouds
159,Ust-Kuyga,RU,2021-02-06 17:52:10,70.0167,135.6,-26.91,83,100,2.93,overcast clouds
160,Chernyshevskiy,RU,2021-02-06 17:52:10,63.0128,112.4714,-32.1,86,3,1.61,clear sky
161,Jurmala,LV,2021-02-06 17:52:10,56.968,23.7704,14.0,85,75,3.44,broken clouds
162,Monster,NL,2021-02-06 17:51:48,52.0258,4.175,36.0,87,90,18.41,overcast clouds
163,Tilichiki,RU,2021-02-06 17:52:11,60.4667,166.1,5.81,90,100,14.79,overcast clouds
164,Kortkeros,RU,2021-02-06 17:52:11,61.8106,51.5806,-0.4,78,40,15.66,light snow
165,Matane,CA,2021-02-06 17:52:11,48.8286,-67.522,30.2,100,100,20.71,light snow
166,Srednekolymsk,RU,2021-02-06 17:52:11,67.45,153.6833,-20.67,84,5,3.33,clear sky
167,Cape Town,ZA,2021-02-06 17:49:18,-33.9258,18.4232,75.0,73,40,16.11,scattered clouds
168,Ribeira Grande,PT,2021-02-06 17:52:11,38.5167,-28.7,60.8,88,75,21.85,broken clouds
169,Beira,MZ,2021-02-06 17:51:25,-19.8436,34.8389,84.2,84,40,4.61,moderate rain
170,Carbonear,CA,2021-02-06 17:52:12,47.7332,-53.2148,37.4,81,90,5.75,light rain
