City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2783,Port Elizabeth,ZA,71.6,broken clouds,-33.918,25.5701,39 On Nile Guest House
2786,Bredasdorp,ZA,71.6,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
2787,Mount Isa,AU,75.2,moderate rain,-20.7333,139.5,ibis Styles Mt Isa Verona
2788,Sharjah,AE,73.0,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
2791,Kroya,ID,77.63,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
2792,Atuona,PF,80.17,broken clouds,-9.8,-139.0333,Villa Enata
2793,Cartagena,CO,86.0,few clouds,10.3997,-75.5144,Costa Del Sol
2797,Trinidad,BO,89.6,broken clouds,-14.8333,-64.9,Hotel Piesta
2801,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
2803,Inirida,CO,87.53,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
2807,Cidreira,BR,76.57,broken clouds,-30.1811,-50.2056,Hotel Castelo
2808,Atambua,ID,73.47,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
2810,Puerto Ayora,EC,81.0,moderate rain,-0.7393,-90.3518,Castillo Galapagos
2811,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
2813,Chuy,UY,82.99,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
2814,Butaritari,KI,81.01,light rain,3.0707,172.7902,Isles Sunset Lodge
2816,Boca Do Acre,BR,87.8,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
2818,Acapulco,MX,84.2,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
2821,Port Alfred,ZA,73.99,scattered clouds,-33.5906,26.891,The Halyards Hotel
2824,Morondava,MG,83.46,light rain,-20.2833,44.2833,La Case Bambou
2826,Hithadhoo,MV,81.77,overcast clouds,-0.6,73.0833,Scoop Guest House
2829,Karratha,AU,78.39,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
2830,Hermanus,ZA,71.01,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
